size_bytes,access_type,run,latency_ns
131072,post_migration,27,1036600
131072,cpu_baseline,28,67300
131072,post_migration,28,1000400
131072,cpu_baseline,29,99700
131072,post_migration,29,1107500
262144,cpu_baseline,0,2032600
262144,post_migration,0,2119400
262144,cpu_baseline,1,327800
262144,post_migration,1,1970100
262144,cpu_baseline,2,139600
262144,post_migration,2,1988400
262144,cpu_baseline,3,141500
262144,post_migration,3,1906100
262144,cpu_baseline,4,186300
262144,post_migration,4,1991400
262144,cpu_baseline,5,150900
262144,post_migration,5,2217800
262144,cpu_baseline,6,146000
262144,post_migration,6,1989000
262144,cpu_baseline,7,163600
262144,post_migration,7,2046600
262144,cpu_baseline,8,135000
262144,post_migration,8,2003400
262144,cpu_baseline,9,139900
262144,post_migration,9,2434000
262144,cpu_baseline,10,149800
262144,post_migration,10,2197400
262144,cpu_baseline,11,156200
262144,post_migration,11,2078000
262144,cpu_baseline,12,141300
262144,post_migration,12,2164700
262144,cpu_baseline,13,152600
262144,post_migration,13,2047500
262144,cpu_baseline,14,154100
262144,post_migration,14,1981800
262144,cpu_baseline,15,142100
262144,post_migration,15,1950100
262144,cpu_baseline,16,143300
262144,post_migration,16,2501500
262144,cpu_baseline,17,230300
262144,post_migration,17,2379100
262144,cpu_baseline,18,170300
262144,post_migration,18,2339500
262144,cpu_baseline,19,150500
262144,post_migration,19,2406200
262144,cpu_baseline,20,189500
262144,post_migration,20,2197000
262144,cpu_baseline,21,160800
262144,post_migration,21,2095100
262144,cpu_baseline,22,150300
262144,post_migration,22,2156200
262144,cpu_baseline,23,161000
262144,post_migration,23,2668800
262144,cpu_baseline,24,169200
262144,post_migration,24,2190600
262144,cpu_baseline,25,154700
262144,post_migration,25,2000500
262144,cpu_baseline,26,165400
262144,post_migration,26,2197700
262144,cpu_baseline,27,203100
262144,post_migration,27,2233300
262144,cpu_baseline,28,218300
262144,post_migration,28,2091800
262144,cpu_baseline,29,174200
262144,post_migration,29,2082800
524288,cpu_baseline,0,4563000
524288,post_migration,0,4938800
524288,cpu_baseline,1,360400
524288,post_migration,1,4464000
524288,cpu_baseline,2,334500
524288,post_migration,2,4521300
524288,cpu_baseline,3,360600
524288,post_migration,3,4754800
524288,cpu_baseline,4,322700
524288,post_migration,4,4593000
524288,cpu_baseline,5,342800
524288,post_migration,5,4093100
524288,cpu_baseline,6,513600
524288,post_migration,6,4648100
524288,cpu_baseline,7,350900
524288,post_migration,7,4399800
524288,cpu_baseline,8,388300
524288,post_migration,8,4724800
524288,cpu_baseline,9,325500
524288,post_migration,9,4460700
524288,cpu_baseline,10,326400
524288,post_migration,10,4646100
524288,cpu_baseline,11,369000
524288,post_migration,11,4646500
524288,cpu_baseline,12,318700
524288,post_migration,12,3787700
524288,cpu_baseline,13,318800
524288,post_migration,13,4481700
524288,cpu_baseline,14,328500
524288,post_migration,14,4556900
524288,cpu_baseline,15,263300
524288,post_migration,15,4193500
524288,cpu_baseline,16,271600
524288,post_migration,16,3842300
524288,cpu_baseline,17,272300
524288,post_migration,17,4288700
524288,cpu_baseline,18,283900
524288,post_migration,18,4229200
524288,cpu_baseline,19,276200
524288,post_migration,19,4157300
524288,cpu_baseline,20,264000
524288,post_migration,20,3833400
524288,cpu_baseline,21,371000
524288,post_migration,21,4424000
524288,cpu_baseline,22,292100
524288,post_migration,22,4149500
524288,cpu_baseline,23,389100
524288,post_migration,23,3872500
524288,cpu_baseline,24,266700
524288,post_migration,24,3737500
524288,cpu_baseline,25,424700
524288,post_migration,25,4368900
524288,cpu_baseline,26,320100
524288,post_migration,26,4613900
524288,cpu_baseline,27,390300
524288,post_migration,27,4678000
524288,cpu_baseline,28,357000
524288,post_migration,28,4279100
524288,cpu_baseline,29,274800
524288,post_migration,29,3857600
1048576,cpu_baseline,0,11026500
1048576,post_migration,0,8576200
1048576,cpu_baseline,1,538000
1048576,post_migration,1,10433500
1048576,cpu_baseline,2,616200
1048576,post_migration,2,9785600
1048576,cpu_baseline,3,788400
1048576,post_migration,3,9319700
1048576,cpu_baseline,4,872500
1048576,post_migration,4,10354700
1048576,cpu_baseline,5,623000
1048576,post_migration,5,9211300
1048576,cpu_baseline,6,601100
1048576,post_migration,6,10738700
1048576,cpu_baseline,7,532500
1048576,post_migration,7,8710200
1048576,cpu_baseline,8,758700
1048576,post_migration,8,10609500
1048576,cpu_baseline,9,646700
1048576,post_migration,9,9146100
1048576,cpu_baseline,10,500900
1048576,post_migration,10,10058800
1048576,cpu_baseline,11,679700
1048576,post_migration,11,10097300
1048576,cpu_baseline,12,553700
1048576,post_migration,12,8586500
1048576,cpu_baseline,13,570100
1048576,post_migration,13,10205100
1048576,cpu_baseline,14,1134800
1048576,post_migration,14,9450200
1048576,cpu_baseline,15,613400
1048576,post_migration,15,11015700
1048576,cpu_baseline,16,589200
